id,version,"name"
1,0,"Cushman & Wakefield"
2,0,"Durst Organization, Inc."
3,0,"Oxford & Simpson"
4,0,"UGL Equis"
5,0,"Studley"
6,0,"Grubb & Ellis"
7,0,"Colliers International"
8,0,"Vornado Office Management"
9,1,"JLL"
10,0,"CB Richard Ellis"
11,0,"Cassidy Turley"
12,0,"SL Green Realty"
13,0,"CRESA Partners"
14,0,"ABS Partners Real Estate"
15,0,"Prime Manhattan Realty"
16,0,"Newmark Knight Frank"
17,0,"New York Commercial Real Estate"
18,0,"Murray Hill Properties"
19,0,"Jack Resnick & Sons"
20,0,"Brookfield Properties Management, LLC"
21,0,"CS Commercial Group"
22,0,"Justin Management"
23,0,"Meringoff Properties"
24,0,"Weichert Commercial"
25,0,"John Sabty"
26,0,"SL Green"
27,0,"Tishman Speyer"
28,0,"Investco"
29,0,"Howard Eckler & Co. "
30,0,"CS Commercial"
31,0,"Millenium"
32,0,"Winoker Realty"
33,0,"Princeton International"
34,0,"Kenneth Zund"
35,0,"Byrnam Wood, LLC"
36,0,"Premenade Real Estate Corp."
37,0,"RFR Realty"
38,0,"Kassin Sabbagh Realty"
39,0,"Buchbinder & Warren"
40,0,"Stellar Management Company"
41,0,"L&L Holdings"
42,1,"JLL, Cushman & Wakefield"
43,0,"Square Foot Realty"
44,0,"Katz & Associates"
45,0,"Kaufman Management Company"
46,0,"Miyad Realty, LLC"
47,0,"Beckler Real Estate"
48,0,"Capstone Realty Partners LLC"
49,0,"Elk Investors"
50,0,"Dakota Realty"
51,0,"Newmark Knight Frank."
52,0,"Newmark Knight Frnak"
53,0,"Adams & Company Real Estate"
54,0,"Walter & Samuels Incorporated"
55,0,"Amsi Investors"
56,0,"Smith Mack & Co., Inc."
57,0,"Williamson, Picket, Gross, Inc."
58,0,"Sinovsky Realty Services LLC"
59,0,"Tishman Speyer Properties"
60,0,"Cogent Realty Advisors"
61,0,"Bailes and Associates"
62,0,"Richard Berzine & Co."
63,0,"Ripco"
64,0,"Robert K. Futterman"
65,0,"Sinvin Realty"
66,0,"Rudin Management"
67,0,"Tarter Stats O'Toole"
68,0,"Olmstead Properties"
69,0,"Twill Realty"
70,0,"Tudor Realty Services"
71,0,"Furumoto Realty"
72,0,"Prudential Douglas Elliman"
73,0,"Rosen and Jacobs"
74,0,"Shulsky Properties"
75,0,"Braus Realty"
76,0,"CRESA Partners, LLC"
77,0,"NRT New York LLC"
78,0,"New York Commercial Real Estate Services, LLC"
79,0,"Lansco Corporation"
80,0,"Legacy Real Estate"
81,0,"442 Lexington Ave. Co. Limited Partnership"
82,0,"ABS partners"
83,0,"Kaufman Organization"
84,0,"Alan Locker"
85,0,"Easy Street Properties"
86,0,"Zar Properties"
87,0,"Murray Hill Properties LLC"
88,0,"Jeffrey Management"
89,0,"The Winbury Group"
90,0,"Morris Goldman Real Estate Corporation"
91,0,"Isaacs and Company, Inc."
92,0,"Feil Organization"
93,0,"Rock York Inc"
94,0,"NAI"
95,0,"Cogswell"
96,0,"Winslow & Co."
97,0,"Lawrence Ruben & Co."
98,0,"Vortex Group"
99,0,"Broad Street Development"
100,0,"Atlas Capital Group"
101,0,"Concrete Stories LLC"
102,0,"Fisher Renaissance LLC"
103,0,"Milstein Brothers Real Estate LLC"
104,0,"JALYN Realty LLC"
105,0,"Trend Setter Realty"
106,0,"Widgeon Management"
107,0,"Promenade Real Estate Corp."
108,0,"Sierra Realty Corp."
109,0,"Sage Group Associates"
110,0,"Cohen Brothers Realty"
111,0,"TRI Realty Management Corp."
112,1,"JLL Americas, Inc."
113,0,"Silverstein Properties /CBRE"
114,0,"Savitt Partners"
115,0,"Millenium Realty Group"
116,0,"Romanoff Equities"
117,0,"PBS Realty"
118,0,"Time Equities"
119,0,"Newmark Kinght Frank"
120,0,"Isaacs & Co."
121,0,"Zelnik & Co."
122,0,"Sky Management"
123,0,"Winick Realty"
124,0,"UGL Services"
125,0,"SL Green Realty Corp."
126,0,"Joseph P. Day Realty"
127,0,"Davis Realty"
128,0,"Walter & Samuels"
129,0,"Monday Properties"
130,0,"Paramount Group, Inc."
131,0,"Miltan Management Corp."
132,0,"Jef"
133,0,"Winslow & Company LLC"
134,0,"Kaufman"
135,0,"Paramount Group"
136,0,"Abraham + Martin"
137,0,"Swig Equities"
138,0,"Thor Equities"
139,0,"Optimum Properties"
140,0,"Robert K. Futterman & Associates"
141,0,"Friedland Properties"
142,0,"AAG Management"
143,0,"Ripco Real Estate"
144,0,"Manhattes Group"
145,0,"Sierra Realty"
146,0,"JDF Realty"
147,0,"PBS Real Estate"
148,0,"Colliers ABR"
149,0,"1059 Battaglia Realty LLC"
150,0,"Lansco"
151,0,"Sinvin - Chris Owles, Michael Glanzberg"
152,0,"Rudd Realty"
153,0,"Rosent Jacobs"
154,0,"New Street Realty Advisors"
155,0,"Esther Lixenberg"
156,0,"Newave Realty Inc."
157,0,"Bernstein Real Estate"
158,0,"Katz & Associates - Brian Katz"
159,0,"Wharton Realty"
160,0,"Zelnick & Co."
161,0,"Cogswell Realty Group"
162,0,"Vornado"
163,0,"Peter Levitan"
164,0,"Gilman Management Corp."
165,0,"Kamenitzer Real Estate Group"
166,0,"Giscombe Realty"
167,0,"RXR Realty"
168,0,"Adams & Company"
169,0,"JRT Realty"
170,0,"Lawrence Group"
171,0,"GVA Williams"
172,0,"Wharton Property Advisors, Inc."
173,0,"Kamber Management"
174,0,"L&L Holding Company"
175,0,"Centric Real Estate Advisors"
176,0,"Adams Real Estate"
177,0,"Bruce Rothman"
178,0,"Vornado Realty Trust"
179,0,"Capstone Realty"
180,0,"Hidrock"
181,0,"Rice & Associates"
182,0,"Orda Management"
294,0,"Staubach"
295,0,"FirstService Williams"
296,0,"NAI Global"
297,0,"Vornado Management"
298,0,"Equity Office Properties"
299,0,"Adams & Co."
300,0,"Helmsley Spear"
301,0,"Hidrock Realty"
302,0,"Rudin Management Company"
303,0,"Moinian"
304,0,"L&L Acquisitions"
305,0,"Feil Organizaiton"
306,0,"Williamson Picket Gross"
307,0,"Millenium Realty"
308,0,"Lawrence Ruben Company"
309,0,"Cushman & Wakefield."
310,0,"Sitt Asset Management"
311,0,"Durst Organization"
312,0,"Edward Warren
& Co."
313,0,"Project Vision"
314,0,"Reckson"
315,0,"Equis"
316,0,"Moss Real Estate Group"
317,0,"Durst Organziation"
318,0,"WF Realty"
319,0,"Ardor RE"
320,0,"Western Heritable Investment Company"
321,0,"Macklowe Properties"
322,0,"Corcoran Group"
323,0,"ABC Properties"
324,0,"NYSpace"
325,0,"Ellman Realty"
326,0,"Picken Real Estate"
327,0,"Hunter Realty"
328,0,"W&H Properties"
329,0,"Gotham Realty"
330,0,"Cohen Brothers"
331,0,"Trinity Real Estate"
332,0,"RXR Property Management"
333,0,"JSN Properties"
334,0,"Hanley Advisors"
335,0,"CB Richard Ellis, Equis"
336,0,"Norman Bobrow & Company"
337,0,"Dumann Realty"
338,0,"Bloom Real Estate"
339,0,"Atco Properties"
340,0,"Tishman Real Estate"
341,0,"x"
342,0,"US Equities"
343,0,"Samco Properties"
344,0,"Durst Organziation."
345,0,"Millennium Realty"
346,0,"Jeff Gural"
347,0,"Newmark Knight
Frank"
348,0,"Silverstein Properties"
349,0,"The Lawrence Group"
350,0,"Bonifide Estates"
351,0,"Sherwood Equities"
352,0,"Akam Commercial"
353,0,"JFW Realty"
354,0,"L & L Acquisitions"
355,0,"KW Realty Advisors"
356,0,"MB Real Estate"
357,0,"Marcus & Millichap"
358,0,"City Sites Real Estate Group"
359,0,"Spencer Associates"
360,0,"Crosstown Commercial"
361,0,"Trammel Crow"
362,0,"Centric Realty Advisors"
363,0,"USI Real Estate"
364,0,"Bluestone Group"
365,0,"Byrnam Wood"
366,0,"Fisher Brothers Management"
367,0,"Newmark Grubb Knight Frank"
368,0,"Newcorn Realty"
369,0,"N/A"
370,0,"Concrete Stories"
371,0,"Republic Investment Corp."
372,0,"AC Lawrence & Company"
373,0,"Ruben Companies "
374,0,"ACTA Realty"
375,0,"Murray Hil Properties"
376,0,"Rice and Associates"
377,0,"Sanchez Boddern Lerner"
378,0,"Capital Properties"
379,0,"Triboro Realty"
380,0,"The Phipps Houses Group "
381,0,"Uglequis"
382,0,"Centric REA"
383,0,"Gideon Group"
384,0,"George Comfort and Sons"
385,0,"Intrepid Real Estate Group"
386,0,"Living Real Estate Group"
387,0,"HRC Corporation "
